"price","host_is_superhost","host_identity_verified","instant_bookable","host_listings_count","host_total_listings_count","bedrooms","bathrooms","accommodates","beds","room_type","Amenities_Offered"
479,1,1,0,0,0,4,2.5,9,8,0,51
108,0,1,0,1,1,2,1,4,2,0,19
95,0,1,0,1,1,2,1,4,3,0,34
195,1,1,0,1,1,2,2,4,2,0,27
210,0,1,1,98,98,3,1,6,3,0,28
130,1,1,1,2,2,1,1,2,1,0,24
379,0,1,1,98,98,4,2,7,2,0,17
178,1,1,1,2,2,2,1,4,2,0,31
114,1,1,0,1,1,1,1,3,1,0,61
220,0,0,1,1,1,1,1.5,4,3,0,8
80,0,1,1,1,1,1,1,3,2,0,21
132,1,1,0,2,2,1,1,2,1,0,41
167,0,1,1,98,98,1,1,3,2,0,24
247,0,1,1,98,98,3,0,6,3,0,26
85,1,1,1,5,5,1,1,2,1,1,23
90,1,1,0,1,1,1,1,2,1,0,31
140,1,1,1,1,1,2,1,6,3,0,45
180,1,0,0,1,1,3,1.5,6,3,0,16
500,0,0,1,0,0,4,2,7,4,0,15
251,0,1,0,1,1,3,2,12,7,0,24
200,0,0,1,2,2,2,2,4,2,0,12
99,1,0,0,3,3,2,1,6,5,0,28
143,0,1,1,1,1,2,1,4,3,0,35
175,0,1,0,1,1,2,1,3,2,0,22
120,1,1,1,1,1,4,1,8,6,0,23
302,1,1,1,2,2,3,1,8,5,0,29
126,0,1,1,2,2,1,1,2,2,1,24
101,1,1,1,1,1,1,1,3,2,0,47
100,1,1,1,7,7,1,2.5,2,2,1,17
160,1,1,0,1,1,2,1,4,2,0,18
89,1,0,1,3,3,1,1.5,2,1,1,14
154,0,0,0,0,0,1,1,2,1,0,38
198,0,1,1,0,0,1,1.5,2,1,1,48
100,0,0,0,0,0,1,1,2,1,0,17
268,0,1,1,1,1,1,1,4,4,0,19
100,1,1,1,3,3,1,1,2,2,1,51
72,1,0,0,0,0,1,1,4,2,1,36
50,1,0,0,1,1,1,1,3,2,0,20
360,1,1,1,1,1,2,2,4,2,0,48
60,0,1,1,0,0,1,1,2,1,1,56
300,1,0,0,1,1,3,1,10,6,0,19
85,0,1,0,0,0,2,1,5,2,1,32
80,0,0,1,2,2,1,1,2,1,1,15
257,1,1,0,0,0,3,2,6,4,0,34
50,1,0,1,0,0,1,1,2,1,0,23
153,1,1,0,2,2,1,0,2,1,1,50
261,1,1,1,1,1,1,1,2,1,0,30
60,0,1,1,1,1,1,1,2,1,1,14
140,0,1,0,0,0,1,1,2,1,0,16
80,1,1,0,1,1,1,1,4,2,0,32
319,1,1,1,0,0,2,1,4,2,0,42
60,1,1,1,4,4,4,2,5,6,1,31
80,0,0,1,0,0,1,1,2,1,1,13
152,0,0,1,0,0,1,1,2,1,1,18
70,0,0,1,0,0,1,1,4,3,1,12
600,0,0,1,0,0,3,2,5,4,0,18
142,1,1,1,1,1,1,1,2,1,0,30
118,1,1,0,2,2,1,1,2,1,0,26
120,0,0,1,0,0,2,1,4,2,0,56
99,1,1,0,1,1,3,1.5,6,3,1,31
125,1,1,0,2,2,1,1,3,2,0,24
207,0,1,1,16,16,1,1,4,3,1,11
70,0,1,0,1,1,1,1.5,2,1,0,41
208,1,1,1,6,6,3,3.5,6,3,0,20
189,1,1,0,5,5,1,1.5,3,6,1,60
189,1,1,0,0,0,1,1,2,1,0,25
86,0,0,1,0,0,1,1,2,1,1,49
400,0,0,0,2,2,3,2.5,6,4,0,36
40,0,0,0,1,1,1,1,2,1,0,19
50,1,1,0,2,2,1,1,2,1,1,30
99,1,1,1,3,3,1,1,3,2,0,24
245,0,1,1,1,1,2,1.5,6,2,0,45
65,1,1,0,1,1,2,1.5,4,2,1,18
189,1,1,0,5,5,1,1,2,1,1,64
225,1,1,0,1,1,1,1,2,1,0,48
75,1,0,1,1,1,1,1,2,1,1,30
72,0,0,0,1,1,2,1,4,2,0,17
101,1,1,0,1,1,1,1,2,1,0,42
225,0,1,0,2,2,2,1,6,3,0,33
250,1,1,1,2,2,3,1,6,4,0,41
108,1,1,1,2,2,3,1,6,3,0,56
112,1,0,0,1,1,1,1,2,1,0,19
213,1,1,1,1,1,1,1,2,1,0,42
100,1,0,0,0,0,1,1,2,1,1,51
101,0,1,0,2,2,2,1,5,2,0,38
194,1,1,0,5,5,2,1,4,2,0,46
106,1,1,0,2,2,3,1,6,3,0,30
95,1,0,1,1,1,1,1,5,1,0,17
98,1,1,0,1,1,1,1,4,2,0,28
75,1,1,0,3,3,1,1,2,1,1,33
103,1,0,0,0,0,1,1,2,1,1,24
115,0,0,1,3,3,2,1,4,2,1,15
250,1,1,1,1,1,3,2,6,3,0,21
175,1,1,0,1,1,3,1,6,4,0,33
40,0,0,0,1,1,1,1,1,1,1,16
411,1,1,0,14,14,3,2,10,7,0,40
413,1,1,0,14,14,4,2,8,5,0,48
220,0,1,1,0,0,3,1,6,3,0,17
125,0,0,0,0,0,2,1,4,2,0,39
125,1,1,1,2,2,2,1,4,3,0,46
55,1,1,0,1,1,2,1,6,4,1,59
70,1,1,0,3,3,1,1.5,2,2,1,20
145,0,1,0,0,0,1,1,2,1,1,34
220,0,1,0,1,1,3,1,6,3,0,34
145,0,0,0,0,0,1,1,2,2,1,44
50,0,0,1,2,2,1,1,1,1,1,6
48,1,1,0,2,2,1,2,3,2,1,12
231,0,1,0,0,0,3,1,9,7,0,39
119,1,1,1,0,0,1,1,4,3,1,28
185,0,1,0,1,1,3,1,6,6,0,26
228,0,1,1,2,2,4,3.5,6,4,0,28
151,1,1,1,2,2,2,1,4,3,0,32
171,0,1,1,52,52,2,1,4,2,0,13
285,0,1,0,2,2,4,1,8,5,0,29
98,1,0,1,1,1,1,1,2,1,1,23
280,0,1,0,0,0,3,1,6,5,0,40
120,1,1,0,3,3,2,1.5,4,3,1,21
88,1,1,0,2,2,1,1,2,1,1,20
90,0,1,1,5,5,1,1,3,2,1,5
96,1,1,1,0,0,1,1,3,2,1,47
60,1,1,0,3,3,1,1,1,1,1,12
86,0,1,0,0,0,1,1,2,3,0,27
80,0,1,0,3,3,1,1.5,2,1,1,14
48,0,0,0,2,2,1,1.5,1,1,1,22
62,0,0,0,3,3,1,1,3,1,1,22
80,0,0,0,2,2,3,3.5,6,3,0,12
275,1,1,0,0,0,2,1,4,2,0,52
60,0,0,1,1,1,1,1,2,1,0,22
85,0,1,0,0,0,1,1,2,1,0,13
188,0,1,1,0,0,1,1,2,1,0,31
159,0,0,0,0,0,2,1,4,3,0,35
130,1,0,0,0,0,3,1,6,3,0,24
100,0,0,0,0,0,2,1,4,2,0,40
570,1,1,1,2,2,4,2.5,8,4,0,46
138,1,1,1,0,0,3,1,6,4,0,48
550,0,1,0,1,1,3,2,6,8,0,43
403,0,1,1,0,0,1,1,2,2,1,23
500,0,1,1,1,1,3,2,5,3,0,44
480,0,1,1,8,8,3,2,6,6,0,30
568,0,0,1,0,0,2,1,4,2,0,11
59,1,1,0,2,2,1,1.5,2,1,1,24
120,1,1,1,1,1,2,1,4,2,0,39
307,1,1,0,3,3,3,1.5,8,6,0,31
100,0,0,1,1,1,1,1,4,2,0,14
226,1,1,0,0,0,3,1,6,4,0,44
170,1,1,0,1,1,3,1,10,9,0,43
170,0,1,1,5,5,2,1,6,5,0,25
65,1,0,0,2,2,1,1,2,1,1,36
48,0,1,1,1,1,1,2,2,1,1,27
380,0,0,0,6,6,1,1,4,3,1,3
156,0,1,0,4,4,1,1,2,1,1,20
295,0,0,0,6,6,1,1,2,1,1,4
197,0,1,0,24,24,1,1,2,1,0,17
119,1,1,0,1,1,1,1,3,2,0,40
85,1,0,1,14,14,1,1,2,1,1,26
260,0,0,1,2,2,1,1,4,3,0,9
140,0,1,0,0,0,2,1,4,2,0,39
81,1,0,1,0,0,1,1,2,1,0,27
636,0,0,0,0,0,4,2,8,5,0,47
75,1,1,1,1,1,1,1,2,1,0,29
256,1,1,0,1,1,4,2,11,7,0,46
59,1,1,1,1,1,1,1,2,2,0,42
90,0,1,1,1,1,1,1,2,2,0,25
52,0,1,0,1,1,1,1,2,1,1,9
243,0,1,1,33,33,3,2,6,4,0,17
116,1,1,0,1,1,3,1,6,3,0,27
104,0,0,0,2,2,1,1.5,2,1,1,15
85,0,0,0,1,1,2,1,4,2,1,25
70,1,1,0,1,1,1,1,2,1,0,22
240,1,1,1,7,7,1,1,2,1,0,33
115,1,0,0,0,0,1,1,2,1,0,44
220,1,1,0,2,2,3,1,6,5,0,42
104,1,1,0,1,1,1,1,3,2,0,34
293,0,1,1,0,0,2,1,4,2,0,37
500,0,0,1,0,0,4,2,8,5,0,26
69,1,1,0,2,2,1,1.5,4,3,1,60
120,1,1,0,3,3,1,1,2,1,1,12
239,1,1,0,1,1,2,1,6,3,0,46
175,1,1,1,2,2,3,1.5,5,4,0,34
100,0,1,1,2,2,1,1,3,3,0,7
75,1,0,1,1,1,1,1,2,1,1,23
40,0,1,1,3,3,1,2,2,1,1,35
216,1,1,0,4,4,3,1,6,3,0,34
40,1,1,0,2,2,1,1.5,2,1,1,33
99,0,0,1,2,2,1,1,2,1,1,8
50,1,0,0,1,1,1,1,2,2,1,24
75,1,1,0,2,2,1,1,3,2,1,47
69,0,1,0,3,3,2,1,3,2,1,21
232,1,1,0,2,2,2,3,6,4,0,70
190,0,0,1,1,1,1,1,2,1,1,14
60,0,0,0,1,1,1,2,2,1,1,19
120,0,1,1,9,9,1,5,6,6,1,19
150,1,0,1,3,3,2,1,4,3,0,14
93,0,0,0,2,2,1,1.5,2,1,1,11
150,0,0,0,1,1,2,1,4,3,1,14
90,0,0,0,2,2,1,1,2,1,1,17
83,0,1,1,9,9,1,3,5,4,1,20
160,0,0,0,1,1,2,1,2,2,0,20
70,0,0,0,0,0,1,1,2,1,1,29
75,1,0,0,1,1,1,1,2,1,1,25
90,0,1,1,0,0,1,1,2,2,2,16
59,0,0,1,1,1,1,1,3,3,1,26
362,1,1,1,1,1,5,3,15,12,0,38
54,0,0,0,2,2,1,1.5,2,1,1,39
65,1,0,1,1,1,1,1,3,4,0,25
292,1,1,1,1,1,4,3,8,6,0,30
258,1,1,1,1,1,2,1,4,2,0,36
65,1,1,1,1,1,1,1,2,1,0,26
290,0,1,0,1,1,1,1,2,3,0,33
129,0,0,0,1,1,2,1,6,3,0,37
95,0,1,0,1,1,1,1,2,2,0,48
473,0,1,1,2,2,3,1,6,4,0,36
50,0,1,0,3,3,1,1,2,1,1,27
47,1,1,0,0,0,1,1.5,2,1,0,50
160,0,0,0,2,2,2,1,6,3,0,26
438,0,1,1,3,3,3,2,6,4,0,19
85,0,1,1,14,14,2,1,4,3,0,25
120,1,1,1,1,1,2,1,3,2,0,29
150,0,0,1,1,1,1,1,2,1,0,20
180,1,1,1,2,2,1,1.5,2,1,0,18
350,1,1,1,2,2,3,2,6,3,0,50
360,0,1,1,24,24,3,2,6,3,0,41
140,1,1,0,1,1,1,1,2,1,0,40
264,1,1,0,1,1,4,1,7,5,0,27
200,1,1,1,1,1,3,2,6,6,0,30
80,1,1,1,14,14,1,2.5,6,3,1,76
114,1,0,0,0,0,2,1,4,3,0,27
204,1,1,1,2,2,4,1.5,8,5,0,30
220,0,1,0,1,1,2,1,4,3,0,44
56,0,0,1,0,0,2,1,4,2,0,18
474,0,1,1,316,316,3,2,10,8,0,17
55,1,1,1,2,2,1,1.5,2,2,1,38
40,1,0,0,2,2,1,1,2,1,1,29
325,1,1,1,47,47,3,2,12,7,0,30
95,0,0,0,1,1,1,1,3,3,0,24
275,1,1,0,3,3,3,2,6,3,0,43
500,0,0,0,0,0,1,1,2,2,1,11
50,0,0,0,1,1,1,1,2,1,1,32
73,0,1,0,0,0,1,1,2,1,0,31
108,0,1,0,1,1,1,1,2,1,1,18
200,0,1,1,0,0,2,1,6,2,0,43
107,1,1,1,1,1,1,1,2,1,0,33
85,1,0,0,1,1,1,1,2,1,1,23
99,0,1,1,10,10,4,1,8,4,0,23
195,0,0,1,0,0,1,1,2,1,1,21
237,0,1,1,1,1,2,1,6,5,0,32
149,0,1,0,1,1,1,1,2,1,0,47
100,0,0,0,1,1,1,1.5,2,1,1,15
378,0,1,0,46,46,3,3,6,4,0,37
136,1,1,1,4,4,1,1,2,1,1,21
135,1,0,1,0,0,3,1,8,5,0,31
200,0,1,1,4,4,4,1.5,11,9,0,12
145,1,1,0,3,3,1,1,4,4,0,36
60,1,1,0,1,1,1,1,2,1,1,31
152,1,1,1,10,10,1,1,3,2,3,6
42,1,1,0,1,1,1,1,2,1,1,18
285,1,1,1,0,0,1,1,4,2,0,26
75,0,1,0,12,12,1,1,2,1,3,20
75,1,1,1,2,2,1,1,2,1,1,24
250,0,1,0,0,0,3,2,8,5,0,54
60,0,1,0,0,0,5,2.5,3,2,1,33
70,0,1,0,1,1,2,1,5,4,0,25
571,1,1,1,2,2,5,2.5,11,8,0,43
60,1,1,1,3,3,1,1.5,2,2,1,28
79,0,1,1,0,0,1,1,3,3,0,22
440,0,1,1,3,3,2,3,7,5,0,60
55,0,1,1,11,11,1,1,2,2,1,36
69,1,1,0,1,1,2,1,4,2,1,25
88,1,1,0,2,2,1,1,2,1,1,26
80,1,1,1,1,1,1,1,2,1,1,33
80,1,1,1,2,2,1,1,2,1,1,26
94,1,0,0,1,1,1,1,2,1,1,5
350,0,0,0,0,0,4,2,10,5,0,34
150,0,0,0,1,1,1,1,2,1,1,17
665,0,1,1,316,316,4,2,8,5,0,15
82,1,1,1,2,2,1,1,2,1,0,17
380,0,1,0,0,0,3,2,8,6,0,14
90,1,0,0,1,1,2,1,2,2,1,25
357,1,1,0,0,0,2,1,4,2,0,25
60,1,1,1,14,14,1,2.5,2,1,1,75
100,1,1,1,0,0,1,1,2,1,1,22
60,1,1,1,14,14,1,2.5,5,4,1,75
72,1,1,1,1,1,1,1,2,1,0,41
240,0,1,1,0,0,1,1,2,1,0,13
457,0,1,0,0,0,4,2,8,6,0,20
108,1,1,1,0,0,1,1,4,1,0,41
115,1,0,0,1,1,1,1,2,2,0,35
275,0,1,0,2,2,4,2.5,8,4,0,30
257,1,1,0,0,0,2,1,5,3,0,43
140,0,1,0,1,1,2,1,6,4,0,21
150,1,0,0,1,1,2,1,4,1,0,26
500,0,1,0,3,3,3,1.5,5,4,0,23
110,0,1,1,2,2,1,1,2,2,1,22
